;Unnamed: 0;index_of_processed_files;annotator_2nd_anno;check_fiction_status;Fiktionalitätsstatus_2nd_anno;Fiktionalitätsstatus_unsicher_2nd_anno;Kommentar_2nd_anno;author_forename;author_surname;title_main;title_sub;filepath;year;text_length_sents;text_length_clauses;text_length_tokens;reflective_passages_global;reflective_clauses;reflective_tokens;reflection_score_mean;gi_passages_global;gi_clauses;gi_tokens;nfr_passages_global;nfr_clauses;nfr_tokens;comment_passages_global;comment_clauses;comment_tokens;exception;setting;kolimo_index;annotator;to_annotate_first;to_annotate;author_name;title_main_anno;title_sub_anno;first_publication;Übersetzung_ins_Deutsche;Nicht-deutschsprachig;Nicht-Fiktional;Nicht-erzählend;Kommentar;author_surname_anno;author_forename_anno;author_gender;not_before;not_after;classification;number_of_works;canonisation_score;rank_canon;author_nationality_d_prose;refl_clauses_perc;nfr_clauses_perc;gi_clauses_perc;comment_clauses_perc
0;3.0;3.0;Frida;True;fik;;;Klabund;None;Die Kette;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67361-Klabund.xml;1922.0;22.0;30.0;229.0;4.0;9.0;55.0;0.434286312654314;2.0;7.0;46.0;3.0;8.0;50.0;2.0;7.0;40.0;;;12.0;Benita;FALSCH;WAHR;Klabund;Die Kette;None;1922;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;30.0;26.666666666666668;23.33333333333333;23.33333333333333
25;50.0;50.0;;False;;;;Paul;Ernst;Pantalon;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25318-Ernst__Paul.xml;1920.0;101.0;214.0;1600.0;29.0;80.0;531.0;0.4190523180694127;16.0;65.0;448.0;7.0;17.0;92.0;16.0;32.0;192.0;;;335.0;Jonas;FALSCH;FALSCH;Paul Ernst;Pantalon;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;37.38317757009346;7.943925233644859;30.37383177570093;14.95327102803738
38;75.0;75.0;Frida;True;fik;;;Paul;Ernst;Silvie;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25319-Ernst__Paul.xml;1920.0;112.0;258.0;1882.0;48.0;138.0;908.0;0.4673932144239081;25.0;106.0;717.0;8.0;26.0;138.0;23.0;71.0;409.0;;;542.0;Jonas;FALSCH;FALSCH;Paul Ernst;Silvie;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;53.48837209302325;10.07751937984496;41.08527131782946;27.51937984496124
40;79.0;79.0;;False;;;;Klabund;None;Brigitte;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67373-Klabund.xml;1922.0;370.0;493.0;3382.0;79.0;144.0;836.0;0.4174325964594552;30.0;68.0;416.0;12.0;31.0;186.0;53.0;121.0;708.0;;;574.0;Benita;FALSCH;WAHR;Klabund;Brigitte;None;1922;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;29.20892494929006;6.288032454361055;13.79310344827586;24.543610547667345
53;99.0;99.0;;False;;;;Paul;Ernst;Das grüne Ungeheuer;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25321-Ernst__Paul.xml;1920.0;60.0;142.0;1071.0;15.0;77.0;519.0;0.4314087107600625;9.0;70.0;474.0;3.0;5.0;31.0;4.0;9.0;59.0;;;729.0;Benita;FALSCH;WAHR;Paul Ernst;Das grüne Ungeheuer;None;1920;;;;;;Ernst;Paul;None;1866;1933;FIK;76.0;;;;54.22535211267606;3.5211267605633805;49.29577464788733;6.338028169014084
56;104.0;104.0;Frida;True;fik;;;Paul;Ernst;Der Traum;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25333-Ernst__Paul.xml;1920.0;86.0;201.0;1654.0;37.0;97.0;774.0;0.4614667939758792;19.0;71.0;549.0;7.0;25.0;184.0;16.0;57.0;420.0;;;764.0;Jonas;FALSCH;FALSCH;Paul Ernst;Der Traum;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;48.258706467661696;12.437810945273633;35.32338308457712;28.35820895522388
61;110.0;110.0;;False;;;;Paul;Ernst;Das letzte Lied;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25349-Ernst__Paul.xml;1920.0;73.0;233.0;1837.0;32.0;66.0;464.0;0.4073367371072187;17.0;38.0;286.0;8.0;20.0;150.0;13.0;44.0;293.0;;;817.0;Jonas;FALSCH;FALSCH;Paul Ernst;Das letzte Lied;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;28.32618025751073;8.583690987124463;16.30901287553648;18.88412017167382
109;218.0;218.0;;False;;;;Paul;Ernst;Das Festmahl;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25368-Ernst__Paul.xml;1920.0;76.0;253.0;2055.0;34.0;71.0;601.0;0.3953904069739985;22.0;60.0;508.0;8.0;11.0;110.0;11.0;29.0;251.0;;;1513.0;Jonas;FALSCH;FALSCH;Paul Ernst;Das Festmahl;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;28.063241106719367;4.3478260869565215;23.715415019762844;11.462450592885377
112;226.0;226.0;;False;;;;Klabund;None;Nur ein Viertelstündchen;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67369-Klabund.xml;1922.0;10.0;15.0;155.0;0.0;0.0;0.0;0.3265567465244396;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;1563.0;Benita;FALSCH;WAHR;Klabund;Nur ein Viertelstündchen;None;1922;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;0.0;0.0;0.0;0.0
120;240.0;240.0;Frida;True;fik;;;Klabund;None;Im Russenlager;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67324-Klabund.xml;1918.0;66.0;124.0;1107.0;25.0;62.0;466.0;0.4359862788382396;15.0;53.0;402.0;5.0;13.0;73.0;7.0;13.0;85.0;;;1667.0;Benita;FALSCH;WAHR;Klabund;Im Russenlager;None;1918;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;50.0;10.483870967741936;42.74193548387097;10.483870967741936
121;243.0;243.0;;False;;;;Paul;Ernst;Cinthios Heirat;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25338-Ernst__Paul.xml;1920.0;105.0;280.0;1963.0;56.0;113.0;641.0;0.4442227915031378;28.0;68.0;388.0;11.0;27.0;135.0;26.0;78.0;417.0;;;1699.0;Jonas;FALSCH;FALSCH;Paul Ernst;Cinthios Heirat;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;40.35714285714286;9.642857142857144;24.285714285714285;27.857142857142858
135;276.0;276.0;;False;;;;Paul;Ernst;Das Wunder;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25331-Ernst__Paul.xml;1920.0;81.0;249.0;1958.0;23.0;48.0;368.0;0.3755567673927284;13.0;28.0;232.0;3.0;5.0;41.0;13.0;25.0;172.0;;;1949.0;Jonas;FALSCH;FALSCH;Paul Ernst;Das Wunder;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;19.27710843373494;2.0080321285140563;11.244979919678714;10.040160642570282
139;285.0;285.0;;False;;;;Klabund;None;Abschied;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67319-Klabund.xml;1918.0;67.0;109.0;682.0;11.0;27.0;139.0;0.3853008342676652;7.0;16.0;94.0;1.0;1.0;9.0;4.0;12.0;49.0;;;2007.0;Benita;FALSCH;WAHR;Klabund;Abschied;None;1918;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;24.770642201834864;0.9174311926605504;14.678899082568808;11.009174311926609
141;289.0;289.0;;False;;;;Erich;Mühsam;Die Anmeldung;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/80069-M_hsam__Erich.xml;1928.0;29.0;58.0;458.0;7.0;11.0;78.0;0.3742375956625504;4.0;7.0;54.0;0.0;0.0;0.0;3.0;6.0;35.0;;;2054.0;Benita;FALSCH;WAHR;Erich Mühsam;Die Anmeldung;None;1928;;;;;;Mühsam;Erich;None;1878;1934;FUF;38.0;;;;18.96551724137931;0.0;12.06896551724138;10.344827586206897
148;301.0;301.0;Frida;True;fik;;;Klabund;None;Das Sprichwort;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/klabund/erzaehlg/sprichwo.xml;1922.0;18.0;37.0;242.0;8.0;11.0;63.0;0.4140483917473387;5.0;8.0;48.0;3.0;4.0;23.0;6.0;7.0;38.0;;;2122.0;Benita;FALSCH;WAHR;Klabund;Das Sprichwort;None;1922;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;29.72972972972973;10.81081081081081;21.62162162162162;18.91891891891892
163;335.0;335.0;;False;;;;Klabund;None;Die Grille;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67365-Klabund.xml;1922.0;48.0;56.0;392.0;0.0;0.0;0.0;0.3265567465244396;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;2358.0;Benita;FALSCH;WAHR;Klabund;Die Grille;None;1922;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;0.0;0.0;0.0;0.0
180;363.0;363.0;;False;;;;Lena;Christ;Schauer;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/18370-Christ__Lena.xml;1919.0;122.0;189.0;1573.0;18.0;67.0;503.0;0.3970911664816853;10.0;60.0;472.0;2.0;3.0;42.0;7.0;11.0;64.0;;;2553.0;Benita;FALSCH;WAHR;Lena Christ;Schauer;None;1919;;;;;;Christ;Lena;None;1881;1920;FIK;26.0;;;;35.44973544973545;1.5873015873015872;31.746031746031743;5.82010582010582
197;393.0;393.0;;False;;;;Erich;Mühsam;Nicht deuteln;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/80066-M_hsam__Erich.xml;1928.0;17.0;30.0;234.0;4.0;5.0;25.0;0.3790642736011695;1.0;1.0;8.0;0.0;0.0;0.0;3.0;5.0;25.0;;;2792.0;Benita;FALSCH;WAHR;Erich Mühsam;Nicht deuteln;None;1928;;;;;;Mühsam;Erich;None;1878;1934;FUF;38.0;;;;16.666666666666664;0.0;3.333333333333333;16.666666666666664
210;410.0;410.0;;False;;;;Paul;Ernst;Der weinende Schornsteinfeger;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25345-Ernst__Paul.xml;1920.0;45.0;150.0;1175.0;25.0;46.0;296.0;0.4125135840902496;14.0;35.0;236.0;5.0;12.0;58.0;11.0;27.0;141.0;;;2883.0;Benita;FALSCH;WAHR;Paul Ernst;Der weinende Schornsteinfeger;None;1920;;;;;;Ernst;Paul;None;1866;1933;FIK;76.0;;;;30.666666666666664;8.0;23.33333333333333;18.0
220;428.0;428.0;Frida;True;fik;;;Klabund;None;Hölderlin;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67342-Klabund.xml;1918.0;53.0;107.0;893.0;21.0;54.0;390.0;0.467611387225157;11.0;46.0;340.0;5.0;18.0;98.0;11.0;30.0;178.0;;;3083.0;Benita;FALSCH;WAHR;Klabund;Hölderlin;None;1918;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;50.467289719626166;16.822429906542055;42.99065420560748;28.03738317757009
238;461.0;461.0;;False;;;;Lena;Christ;Die Hochzeiterinnen;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/18358-Christ__Lena.xml;1919.0;196.0;269.0;1915.0;37.0;66.0;396.0;0.3946259858654643;13.0;29.0;208.0;1.0;1.0;8.0;26.0;48.0;261.0;;;3344.0;Benita;FALSCH;WAHR;Lena Christ;Die Hochzeiterinnen;None;1919;;;;;;Christ;Lena;None;1881;1920;FIK;26.0;;;;24.53531598513011;0.3717472118959107;10.780669144981411;17.843866171003718
266;509.0;509.0;;False;;;;Lena;Christ;Der Räuber Blasius;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/18366-Christ__Lena.xml;1919.0;238.0;297.0;2285.0;37.0;55.0;272.0;0.3791284811785702;9.0;14.0;118.0;0.0;0.0;0.0;29.0;44.0;170.0;;;3694.0;Benita;FALSCH;WAHR;Lena Christ;Der Räuber Blasius;None;1919;;;;;;Christ;Lena;None;1881;1920;FIK;26.0;;;;18.51851851851852;0.0;4.713804713804714;14.814814814814811
267;510.0;510.0;;False;;;;Paul;Ernst;Das Stelldichein;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25367-Ernst__Paul.xml;1920.0;90.0;263.0;2157.0;28.0;76.0;612.0;0.4091502003615566;13.0;52.0;429.0;4.0;16.0;97.0;11.0;50.0;419.0;;;3700.0;Jonas;FALSCH;FALSCH;Paul Ernst;Das Stelldichein;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;28.89733840304182;6.083650190114068;19.771863117870723;19.011406844106464
269;513.0;513.0;;False;;;;Erich;Mühsam;Ehrenhandel;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/80065-M_hsam__Erich.xml;1928.0;24.0;36.0;322.0;4.0;8.0;58.0;0.3878190266098082;2.0;2.0;22.0;0.0;0.0;0.0;2.0;6.0;36.0;;;3716.0;Benita;FALSCH;WAHR;Erich Mühsam;Ehrenhandel;None;1928;;;;;;Mühsam;Erich;None;1878;1934;FUF;38.0;;;;22.22222222222222;0.0;5.555555555555555;16.666666666666664
270;518.0;518.0;Frida;True;fik;;;Paul;Ernst;Die ungewollte Freiwerbung;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25329-Ernst__Paul.xml;1920.0;87.0;215.0;1671.0;37.0;87.0;599.0;0.4426500676312883;18.0;61.0;435.0;9.0;24.0;162.0;21.0;55.0;358.0;;;3753.0;Jonas;FALSCH;FALSCH;Paul Ernst;Die ungewollte Freiwerbung;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;40.46511627906977;11.16279069767442;28.37209302325581;25.58139534883721
278;532.0;532.0;;False;;;;Klabund;None;Mittenwald;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67336-Klabund.xml;1918.0;61.0;79.0;560.0;8.0;18.0;128.0;0.3939360217425159;5.0;16.0;116.0;1.0;7.0;40.0;3.0;11.0;59.0;;;3815.0;Benita;FALSCH;WAHR;Klabund;Mittenwald;None;1918;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;22.78481012658228;8.860759493670885;20.253164556962027;13.924050632911392
281;535.0;535.0;;False;;;;Hugo;Ball;Flammetti;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/6184-Ball__Hugo.xml;1918.0;4932.0;7902.0;60126.0;835.0;1827.0;11664.0;0.3855308094692758;416.0;1209.0;8121.0;91.0;220.0;1354.0;410.0;935.0;5422.0;;;3845.0;Jonas;FALSCH;FALSCH;Hugo Ball;Flammetti;None;1918;;;;;;Ball;Hugo;male;None;None;FUF;24.0;;;Deutschland;23.120728929384963;2.7841052898000505;15.299924069855733;11.832447481650217
297;560.0;560.0;;False;;;;Arthur;Schnitzler;Fräulein Else;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/schnitzl/else/else.xml;1924.0;3589.0;4576.0;31763.0;603.0;1199.0;7237.0;0.4010447163270455;231.0;422.0;2661.0;37.0;63.0;458.0;387.0;918.0;5500.0;;;4018.0;Benita;FALSCH;WAHR;Arthur Schnitzler;Fräulein Else;None;1924;;;;;;Schnitzler;Arthur;None;1862;1931;FIK;106.0;;;;26.20192307692308;1.376748251748252;9.222027972027972;20.06118881118881
321;600.0;600.0;;False;;;;Erich;Mühsam;Stammtisch-Eroberer;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/80071-M_hsam__Erich.xml;1928.0;14.0;29.0;244.0;5.0;12.0;95.0;0.4214475218564683;2.0;7.0;56.0;0.0;0.0;0.0;3.0;5.0;39.0;;;4369.0;Benita;FALSCH;WAHR;Erich Mühsam;Stammtisch-Eroberer;None;1928;;;;;;Mühsam;Erich;None;1878;1934;FUF;38.0;;;;41.37931034482759;0.0;24.13793103448276;17.24137931034483
334;619.0;619.0;;False;;;;Klabund;None;Der Literaturverein;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67363-Klabund.xml;1922.0;33.0;55.0;579.0;5.0;10.0;79.0;0.3772414244856946;4.0;9.0;73.0;2.0;4.0;21.0;2.0;5.0;27.0;;;4493.0;Benita;FALSCH;WAHR;Klabund;Der Literaturverein;None;1922;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;18.181818181818183;7.272727272727272;16.363636363636363;9.090909090909092
354;652.0;652.0;Frida;True;fik;;;Paul;Ernst;Das Bett;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25370-Ernst__Paul.xml;1920.0;99.0;240.0;1883.0;37.0;120.0;830.0;0.4611592425061183;18.0;95.0;664.0;7.0;27.0;188.0;17.0;64.0;434.0;;;4720.0;Jonas;FALSCH;FALSCH;Paul Ernst;Das Bett;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;50.0;11.25;39.58333333333333;26.666666666666668
395;716.0;716.0;;False;;;;Arthur;Schnitzler;Casanovas Heimfahrt;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/schnitzl/casaheim/casaheim.xml;1918.0;1914.0;5053.0;43486.0;458.0;992.0;8066.0;0.3810918573637122;186.0;426.0;3701.0;45.0;90.0;827.0;271.0;695.0;5465.0;;;5148.0;Jonas;FALSCH;FALSCH;Arthur Schnitzler;Casanovas Heimfahrt;None;1918;;;;;;Schnitzler;Arthur;male;1862;1931;FIK;106.0;;;Österreich;19.6319018404908;1.7811201266574312;8.430635266178507;13.754205422521274
399;723.0;723.0;;False;;;;Joachim;Ringelnatz;Das schlagende Wetter;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/89465-Ringelnatz__Joachim.xml;1919.0;82.0;174.0;1524.0;11.0;24.0;164.0;0.3581870049684492;6.0;14.0;105.0;0.0;0.0;0.0;5.0;10.0;59.0;;;5190.0;Jonas;FALSCH;FALSCH;Joachim Ringelnatz;Das schlagende Wetter;None;1919;;;;;;Ringelnatz;Joachim;male;1883;1934;FIK;42.0;;;Deutschland;13.79310344827586;0.0;8.045977011494253;5.747126436781609
425;768.0;768.0;;False;;;;Paul;Ernst;Die arme Seele;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25327-Ernst__Paul.xml;1920.0;110.0;233.0;1778.0;33.0;76.0;525.0;0.3996235683130659;21.0;68.0;482.0;7.0;12.0;91.0;11.0;21.0;139.0;;;5515.0;Jonas;FALSCH;FALSCH;Paul Ernst;Die arme Seele;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;32.61802575107296;5.150214592274678;29.184549356223176;9.012875536480689
427;772.0;772.0;;False;;;;Paul;Ernst;Der Balkon;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25343-Ernst__Paul.xml;1920.0;128.0;301.0;2487.0;49.0;114.0;899.0;0.4176502950004762;26.0;88.0;699.0;9.0;16.0;92.0;22.0;46.0;323.0;;;5535.0;Jonas;FALSCH;FALSCH;Paul Ernst;Der Balkon;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;37.87375415282392;5.3156146179402;29.2358803986711;15.282392026578073
446;797.0;797.0;;False;;;;Paul;Ernst;Der Hecht;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25375-Ernst__Paul.xml;1920.0;74.0;190.0;1554.0;31.0;58.0;383.0;0.4129604107551347;16.0;38.0;254.0;7.0;15.0;116.0;14.0;36.0;233.0;;;5678.0;Jonas;FALSCH;FALSCH;Paul Ernst;Der Hecht;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;30.526315789473685;7.894736842105263;20.0;18.947368421052637
453;809.0;809.0;;False;;;;Arthur;Schnitzler;Die dreifache Warnung;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/schnitzl/3warnung/3warnung.xml;1924.0;77.0;196.0;1825.0;19.0;39.0;337.0;0.3847210619094242;9.0;16.0;176.0;4.0;9.0;82.0;9.0;28.0;245.0;;;5753.0;Benita;FALSCH;WAHR;Arthur Schnitzler;Die dreifache Warnung;None;1924;;;;;;Schnitzler;Arthur;None;1862;1931;FIK;106.0;;;;19.897959183673468;4.591836734693878;8.16326530612245;14.285714285714285
469;837.0;837.0;;False;;;;Erich;Mühsam;Letzte Gedanken;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/80062-M_hsam__Erich.xml;1928.0;119.0;162.0;1150.0;27.0;50.0;308.0;0.4241806373448619;11.0;18.0;110.0;7.0;16.0;98.0;16.0;43.0;266.0;;;5911.0;Benita;FALSCH;WAHR;Erich Mühsam;Letzte Gedanken;None;1928;;;;;;Mühsam;Erich;None;1878;1934;FUF;38.0;;;;30.8641975308642;9.876543209876544;11.11111111111111;26.54320987654321
470;838.0;838.0;;False;;;;Paul;Ernst;Der Umzug;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25354-Ernst__Paul.xml;1920.0;72.0;224.0;2116.0;32.0;102.0;865.0;0.4315193816749593;18.0;82.0;739.0;4.0;9.0;68.0;13.0;36.0;268.0;;;5913.0;Jonas;FALSCH;FALSCH;Paul Ernst;Der Umzug;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;45.535714285714285;4.017857142857143;36.60714285714285;16.071428571428573
484;859.0;859.0;;False;;;;Paul;Ernst;Der Geigenbogen;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25324-Ernst__Paul.xml;1920.0;58.0;164.0;1356.0;19.0;42.0;340.0;0.3813819069507914;18.0;41.0;327.0;3.0;5.0;39.0;5.0;9.0;74.0;;;6025.0;Jonas;FALSCH;FALSCH;Paul Ernst;Der Geigenbogen;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;25.60975609756097;3.048780487804878;25.0;5.487804878048781
486;861.0;861.0;Frida;True;fik;;;Paul;Ernst;Die verfallene Kirche;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25322-Ernst__Paul.xml;1920.0;73.0;225.0;1990.0;42.0;127.0;936.0;0.4748130235747327;22.0;106.0;786.0;15.0;44.0;339.0;15.0;56.0;424.0;;;6036.0;Jonas;FALSCH;FALSCH;Paul Ernst;Die verfallene Kirche;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;56.44444444444444;19.55555555555556;47.11111111111111;24.88888888888889
489;866.0;866.0;Frida;True;fik;;;Klabund;None;Die Revolutionärin;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67329-Klabund.xml;1918.0;58.0;94.0;772.0;21.0;52.0;382.0;0.4822553754224263;12.0;44.0;325.0;8.0;21.0;149.0;9.0;27.0;205.0;;;6069.0;Benita;FALSCH;WAHR;Klabund;Die Revolutionärin;None;1918;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;55.319148936170215;22.34042553191489;46.80851063829788;28.723404255319156
492;872.0;872.0;Frida;True;fik;;;Klabund;None;Kleine Wanderung;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67335-Klabund.xml;1918.0;95.0;122.0;808.0;21.0;72.0;385.0;0.4788845666234225;11.0;62.0;331.0;7.0;24.0;132.0;6.0;29.0;174.0;;;6110.0;Benita;FALSCH;WAHR;Klabund;Kleine Wanderung;None;1918;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;59.01639344262295;19.672131147540984;50.81967213114754;23.770491803278688
516;921.0;921.0;;False;;;;Klabund;None;Der Mann mit der Maske;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67372-Klabund.xml;1922.0;93.0;160.0;1180.0;12.0;39.0;266.0;0.3793598380735045;6.0;32.0;225.0;1.0;2.0;8.0;7.0;11.0;63.0;;;6495.0;Benita;FALSCH;WAHR;Klabund;Der Mann mit der Maske;None;1922;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;24.375;1.25;20.0;6.875000000000001
532;943.0;943.0;;False;;;;Lena;Christ;Der Schatz des Toten;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/18360-Christ__Lena.xml;1919.0;92.0;144.0;1279.0;23.0;53.0;421.0;0.4345863696341975;9.0;30.0;245.0;4.0;14.0;87.0;13.0;37.0;256.0;;;6597.0;Benita;FALSCH;WAHR;Lena Christ;Der Schatz des Toten;None;1919;;;;;;Christ;Lena;None;1881;1920;FIK;26.0;;;;36.80555555555556;9.722222222222223;20.833333333333336;25.694444444444443
533;944.0;944.0;;False;;;;Franz;Kafka;Der Kübelreiter;None;/home/fbarth/GIT/pipy/main/../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/kafka/erzaehlg/kuebel.xml;1921.0;85.0;138.0;1031.0;10.0;28.0;213.0;0.3757698700140309;5.0;16.0;141.0;0.0;0.0;0.0;6.0;14.0;93.0;;;6603.0;Benita;FALSCH;WAHR;Franz Kafka;Der Kübelreiter;None;1921;;;;;;Kafka;Franz;None;None;None;FIK;114.0;;;;20.28985507246377;0.0;11.594202898550725;10.144927536231885
