;Unnamed: 0;index_of_processed_files;annotator_2nd_anno;check_fiction_status;Fiktionalitätsstatus_2nd_anno;Fiktionalitätsstatus_unsicher_2nd_anno;Kommentar_2nd_anno;author_forename;author_surname;title_main;title_sub;filepath;year;text_length_sents;text_length_clauses;text_length_tokens;reflective_passages_global;reflective_clauses;reflective_tokens;reflection_score_mean;gi_passages_global;gi_clauses;gi_tokens;nfr_passages_global;nfr_clauses;nfr_tokens;comment_passages_global;comment_clauses;comment_tokens;exception;setting;kolimo_index;annotator;to_annotate_first;to_annotate;author_name;title_main_anno;title_sub_anno;first_publication;Übersetzung_ins_Deutsche;Nicht-deutschsprachig;Nicht-Fiktional;Nicht-erzählend;Kommentar;author_surname_anno;author_forename_anno;author_gender;not_before;not_after;classification;number_of_works;canonisation_score;rank_canon;author_nationality_d_prose;refl_clauses_perc;nfr_clauses_perc;gi_clauses_perc;comment_clauses_perc
2254;3705.0;3705.0;;False;;;;Klabund;None;Der Journalist;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/klabund/erzaehlg/journali.xml;1922.0;35.0;50.0;459.0;4.0;8.0;65.0;0.3664805529093152;3.0;7.0;58.0;0.0;0.0;0.0;2.0;4.0;24.0;;;26523.0;Nele;FALSCH;WAHR;Klabund;Der Journalist;None;1922;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;16.0;0.0;14.000000000000002;8.0
2270;3730.0;3730.0;Frida;True;fik;;;Paul;Ernst;Die Uhr;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25356-Ernst__Paul.xml;1920.0;110.0;260.0;2181.0;32.0;86.0;760.0;0.4158828862218531;16.0;70.0;622.0;8.0;37.0;365.0;12.0;38.0;288.0;;;26680.0;;FALSCH;FALSCH;Paul Ernst;Die Uhr;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;33.07692307692307;14.23076923076923;26.923076923076923;14.615384615384617
2286;3754.0;3754.0;;False;;;;Paul;Ernst;Die fünfzig Dukaten;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/25348-Ernst__Paul.xml;1920.0;99.0;218.0;1640.0;12.0;29.0;232.0;0.3579634797003252;6.0;19.0;150.0;0.0;0.0;0.0;7.0;13.0;102.0;;;26818.0;;FALSCH;FALSCH;Paul Ernst;Die fünfzig Dukaten;None;1920;;;;;;Ernst;Paul;male;1866;1933;FIK;76.0;;;Deutschland;13.302752293577983;0.0;8.715596330275229;5.963302752293578
2291;3761.0;3761.0;;False;;;;Klabund;None;Es war am Morgen eines regnerischen Herbstsonntages;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67345-Klabund.xml;1922.0;17.0;43.0;415.0;2.0;2.0;20.0;0.337761843984223;1.0;1.0;15.0;0.0;0.0;0.0;1.0;1.0;5.0;;;26867.0;Nele;FALSCH;WAHR;Klabund;Es war am Morgen eines regnerischen Herbstsonntages;None;1922;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;4.651162790697675;0.0;2.3255813953488373;2.3255813953488373
2298;3773.0;3773.0;;False;;;;Klabund;None;Elegant möblierte Zimmer;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/67355-Klabund.xml;1922.0;45.0;76.0;584.0;3.0;5.0;47.0;0.3399632619497136;3.0;5.0;47.0;0.0;0.0;0.0;1.0;1.0;14.0;;;26953.0;Nele;FALSCH;WAHR;Klabund;Elegant möblierte Zimmer;None;1922;;;;;;None;Klabund;None;1890;1928;FIK;101.0;;;;6.578947368421052;0.0;6.578947368421052;1.3157894736842104
2300;3776.0;3776.0;;False;;;;Arthur;Schnitzler;Spiel im Morgengrauen;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/schnitzl/spielmor/spielmor.xml;1926.0;2219.0;4382.0;36135.0;354.0;696.0;5396.0;0.3713847341151087;139.0;279.0;2352.0;34.0;68.0;532.0;231.0;506.0;3718.0;;;26970.0;Nele;FALSCH;WAHR;Arthur Schnitzler;Spiel im Morgengrauen;None;1926;;;;;;Schnitzler;Arthur;None;1862;1931;FIK;106.0;;;;15.883158375171154;1.5518028297581012;6.366955727978092;11.547238703788224
2312;3795.0;3795.0;;False;;;;Lena;Christ;Henn um Henn - Hahn um Hahn;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/tg/18361-Christ__Lena.xml;1919.0;293.0;408.0;2929.0;56.0;95.0;551.0;0.3882943796751131;19.0;43.0;316.0;7.0;13.0;88.0;33.0;58.0;276.0;;;27106.0;Nele;FALSCH;WAHR;Lena Christ;Henn um Henn - Hahn um Hahn;None;1919;;;;;;Christ;Lena;None;1881;1920;FIK;26.0;;;;23.2843137254902;3.1862745098039214;10.53921568627451;14.215686274509803
2338;3840.0;3840.0;;False;;;;Dietrich;Theden;Ein Verteidiger;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/theden/verteidi/verteidi.xml;1920.0;4335.0;7028.0;56635.0;635.0;1601.0;11672.0;0.3916721825305252;240.0;648.0;5127.0;76.0;168.0;1240.0;400.0;1191.0;8286.0;;;27433.0;Nele;FALSCH;WAHR;Dietrich Theden;Ein Verteidiger;None;1920;;;;;;Theden;Dietrich;None;None;None;FIK;3.0;;;;22.78030734206033;2.3904382470119523;9.220261809903244;16.946499715424018
2343;3845.0;3845.0;;False;;;;Albin;Zollinger;Der halbe Mensch;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/zollinge/halbmens/halbmens.xml;1929.0;4200.0;8908.0;72028.0;1261.0;3566.0;26455.0;0.433699180464395;682.0;2322.0;18124.0;199.0;623.0;4439.0;526.0;2020.0;13761.0;;;27439.0;;FALSCH;FALSCH;Albin Zollinger;Der halbe Mensch;None;1929;;;;;;Zollinger;Albin;None;None;None;FIK;3.0;;;;40.03143242029636;6.993713515940728;26.066457117198023;22.67624607094746
2346;3848.0;3848.0;;False;;;;Ödön von Horvath;None;Der ewige Spießer;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/horvath/spiesser/spiesser.xml;1930.0;2709.0;5760.0;47019.0;916.0;1656.0;13114.0;0.408310957610845;382.0;870.0;7087.0;225.0;525.0;4509.0;494.0;1099.0;8522.0;;;27454.0;;FALSCH;FALSCH;Ödön von Horvath;Der ewige Spießer;None;1930;;;;;;None;Ödön von Horvath;None;None;None;FIK;3.0;;;;28.75;9.114583333333332;15.104166666666666;19.07986111111111
2350;3853.0;3853.0;;False;;;;Karl;Adolph;Von früher und heute;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/adolph/frueher/frueher.xml;1924.0;3425.0;4827.0;42432.0;792.0;1517.0;12031.0;0.4130334909103734;351.0;847.0;7303.0;110.0;231.0;1910.0;445.0;966.0;7226.0;;;27478.0;;FALSCH;FALSCH;Karl Adolph;Von früher und heute;None;1924;;;;;;Adolph;Karl;None;None;None;FIK;5.0;;;;31.42738761135281;4.785581106277191;17.547130723016366;20.012430080795525
2351;3854.0;3854.0;;False;;;;Karl;Adolph;Am 1. Mai;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/adolph/am1mai/am1mai.xml;1919.0;1398.0;1563.0;10892.0;254.0;432.0;2578.0;0.4062492318948806;101.0;189.0;1306.0;27.0;44.0;274.0;157.0;328.0;1863.0;;;27479.0;;FALSCH;FALSCH;Karl Adolph;Am 1. Mai;None;1919;;;;;;Adolph;Karl;None;None;None;FIK;5.0;;;;27.63915547024952;2.815099168266155;12.092130518234164;20.985284708893158
2361;3864.0;3864.0;Frida;True;fik;;;Auguste;Groner;So war mein Wien;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/groner/meinwien/meinwien.xml;1926.0;1970.0;4110.0;41161.0;736.0;1797.0;16540.0;0.4229898333563557;360.0;1253.0;11633.0;224.0;767.0;7406.0;217.0;501.0;3978.0;;;27512.0;Nele;FALSCH;WAHR;Auguste Groner;So war mein Wien;None;1926;;;;;;Groner;Auguste;None;None;None;FIK;4.0;;;;43.72262773722628;18.66180048661801;30.486618004866177;12.189781021897812
2380;3888.0;3888.0;Frida;True;fik;;;Richard;Nordhausen;Unsere märkische Heimat;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/nordhaus/maerkisc/maerkisc.xml;1929.0;8906.0;18449.0;181885.0;3297.0;8891.0;81988.0;0.4390004144030205;1404.0;6259.0;57096.0;1073.0;4379.0;43638.0;1049.0;2711.0;23629.0;;;27539.0;;FALSCH;FALSCH;Richard Nordhausen;Unsere märkische Heimat;None;1929;;;;;;Nordhausen;Richard;None;None;None;FIK;3.0;;;;48.19231394655537;23.735703832186022;33.92595804650659;14.6945633909697
2391;3899.0;3899.0;;False;;;;Artur;Landsberger;Raffke & Cie.;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/landsbrg/raffke/raffke.xml;1924.0;5457.0;8749.0;64514.0;1045.0;2141.0;13637.0;0.3963050624004675;419.0;1031.0;7320.0;138.0;304.0;1986.0;650.0;1525.0;9043.0;;;27567.0;Nele;FALSCH;WAHR;Artur Landsberger;Raffke & Cie.;None;1924;;;;;;Landsberger;Artur;None;None;None;FIK;6.0;;;;24.471368156360725;3.4746828208938165;11.784203909018172;17.430563492970624
2392;3900.0;3900.0;;False;;;;Artur;Landsberger;Liebe und Bananen;None;/home/fbarth/GIT/pipy/main/kolimo_reflections/../../../corpus-reader/corpusreader/../../KOLIMO/KOLIMO_header_text/gb/landsbrg/bananen/bananen.xml;1927.0;5107.0;8190.0;65198.0;840.0;1601.0;11051.0;0.3798354313914551;359.0;806.0;6190.0;106.0;200.0;1518.0;487.0;1029.0;6592.0;;;27568.0;;FALSCH;FALSCH;Artur Landsberger;Liebe und Bananen;None;1927;;;;;;Landsberger;Artur;None;None;None;FIK;6.0;;;;19.54822954822955;2.442002442002442;9.841269841269842;12.564102564102564
